epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1532.75,0.90126,0.60336,1.2678,0.94471,0.92028,0.98985,0.58097,1.45715,0.76901,1.55747,0.000643101,0.000643101,0.000643101
43,1556.74,0.92137,0.61223,1.27747,0.93829,0.96721,0.98987,0.62668,1.29957,0.68282,1.43164,0.000628101,0.000628101,0.000628101
44,1581.69,0.90857,0.60162,1.25386,0.94792,0.96307,0.99174,0.61296,1.3582,0.68072,1.48185,0.000612981,0.000612981,0.000612981
45,1606.48,0.90149,0.58068,1.26411,0.91864,0.96306,0.99021,0.59766,1.4269,0.70632,1.54548,0.000597754,0.000597754,0.000597754
46,1630.94,0.92496,0.5803,1.27571,0.92229,0.93774,0.98729,0.65019,1.25786,0.67638,1.40289,0.000582435,0.000582435,0.000582435
47,1655.33,0.90412,0.56351,1.25988,0.95753,0.92599,0.98956,0.68093,1.142,0.61982,1.3225,0.00056704,0.00056704,0.00056704
48,1679.8,0.91083,0.55878,1.27268,0.89823,0.95799,0.98814,0.66725,1.17573,0.65738,1.34292,0.000551584,0.000551584,0.000551584
49,1703.74,0.92946,0.55189,1.28656,0.9369,0.9504,0.98744,0.59207,1.4173,0.69763,1.55916,0.000536081,0.000536081,0.000536081
50,1728.3,0.93408,0.56552,1.29729,0.94841,0.96113,0.98737,0.61736,1.33862,0.6558,1.46211,0.000520548,0.000520548,0.000520548
51,1752.47,0.89846,0.54956,1.26365,0.92664,0.95215,0.98856,0.69095,1.13086,0.61897,1.31075,0.000505,0.000505,0.000505
52,1775.17,0.84597,0.51242,1.21971,0.96069,0.95283,0.99072,0.68381,1.13148,0.59026,1.31107,0.000489452,0.000489452,0.000489452
53,1797.57,0.83243,0.50122,1.19858,0.95872,0.95466,0.99069,0.66504,1.17013,0.58672,1.34408,0.000473919,0.000473919,0.000473919
54,1820.04,0.81088,0.49123,1.18234,0.96969,0.95389,0.99219,0.67482,1.14277,0.56718,1.31439,0.000458416,0.000458416,0.000458416
55,1843.03,0.80534,0.48776,1.17929,0.93686,0.95571,0.98733,0.72609,0.9949,0.58776,1.22619,0.00044296,0.00044296,0.00044296
56,1865.55,0.77785,0.47151,1.15919,0.95371,0.9362,0.98845,0.74769,0.9285,0.54522,1.18893,0.000427565,0.000427565,0.000427565
57,1887.97,0.78083,0.47472,1.16265,0.93136,0.97713,0.99202,0.75635,0.9184,0.53106,1.19326,0.000412246,0.000412246,0.000412246
58,1910.38,0.78527,0.45728,1.17188,0.9618,0.95603,0.99274,0.69191,1.11039,0.545,1.29897,0.000397019,0.000397019,0.000397019
59,1932.9,0.7708,0.45372,1.15228,0.95765,0.94559,0.98871,0.75673,0.90861,0.52646,1.17721,0.000381899,0.000381899,0.000381899
60,1955.38,0.7629,0.44825,1.14908,0.9635,0.95702,0.99006,0.75323,0.90112,0.51323,1.19052,0.000366899,0.000366899,0.000366899
61,1977.79,0.74958,0.43797,1.13996,0.9502,0.95809,0.99318,0.75097,0.9306,0.52701,1.19769,0.000352037,0.000352037,0.000352037
62,2000.38,0.75653,0.44943,1.14148,0.96032,0.95113,0.99265,0.76654,0.88014,0.50622,1.17672,0.000337325,0.000337325,0.000337325
63,2024.06,0.74984,0.43418,1.13438,0.95088,0.9602,0.98808,0.78221,0.84826,0.50368,1.16413,0.000322778,0.000322778,0.000322778
64,2047.54,0.74448,0.43286,1.12316,0.92632,0.93994,0.98929,0.77524,0.86074,0.52186,1.16628,0.000308412,0.000308412,0.000308412
65,2071.44,0.74292,0.43067,1.13192,0.94467,0.92653,0.9885,0.76557,0.88876,0.55589,1.18654,0.000294239,0.000294239,0.000294239
66,2094.92,0.78498,0.43905,1.15257,0.91772,0.94473,0.9891,0.77332,0.85356,0.53244,1.15344,0.000280275,0.000280275,0.000280275
67,2118.24,0.74713,0.42768,1.12478,0.93249,0.97166,0.98827,0.76941,0.88596,0.53727,1.18165,0.000266532,0.000266532,0.000266532
68,2141.54,0.77676,0.42866,1.15409,0.95868,0.96047,0.9928,0.76326,0.91132,0.50801,1.18509,0.000253024,0.000253024,0.000253024
69,2164.94,0.74746,0.41678,1.12867,0.94909,0.96864,0.99159,0.76282,0.92203,0.49625,1.17699,0.000239766,0.000239766,0.000239766
